Zeit  1 - Standardmessrate [s]	Maytec [mm]	Kraft [N]	Standardwegaufnehmer [mm]	Pyrometer [°C]	Drehwinkel [V]	MX840_0_CH 6 [V]	MX840_0_CH 7 [V]	MX840_0_CH 8 [V]
4.360	0.09964	131.93	1.073	320.07	-1000000	-1000000	-1000000	-1000000	
4.380	0.09972	126.20	1.073	320.58	-1000000	-1000000	-1000000	-1000000	
4.400	0.09983	116.20	1.073	320.61	-1000000	-1000000	-1000000	-1000000	
4.420	0.09996	99.22	1.073	321.13	-1000000	-1000000	-1000000	-1000000	
4.440	0.1001	75.79	1.073	322.03	-1000000	-1000000	-1000000	-1000000	
4.460	0.1004	50.38	1.074	322.52	-1000000	-1000000	-1000000	-1000000	
4.480	0.1009	30.05	1.074	322.55	-1000000	-1000000	-1000000	-1000000	
4.500	0.1013	21.33	1.076	322.89	-1000000	-1000000	-1000000	-1000000	
4.520	0.1017	28.60	1.078	323.61	-1000000	-1000000	-1000000	-1000000	
4.540	0.1019	50.61	1.080	323.83	-1000000	-1000000	-1000000	-1000000	
4.560	0.1020	79.82	1.082	323.84	-1000000	-1000000	-1000000	-1000000	
4.580	0.1020	107.56	1.084	324.49	-1000000	-1000000	-1000000	-1000000	
4.600	0.1021	127.04	1.085	325.50	-1000000	-1000000	-1000000	-1000000	
4.620	0.1021	135.56	1.085	326.23	-1000000	-1000000	-1000000	-1000000	
4.640	0.1021	134.62	1.085	326.55	-1000000	-1000000	-1000000	-1000000	
4.660	0.1022	128.30	1.085	326.68	-1000000	-1000000	-1000000	-1000000	
4.680	0.1023	120.42	1.085	326.46	-1000000	-1000000	-1000000	-1000000	
4.700	0.1024	113.23	1.085	326.87	-1000000	-1000000	-1000000	-1000000	
4.720	0.1024	108.73	1.085	327.33	-1000000	-1000000	-1000000	-1000000	
4.740	0.1024	108.21	1.085	327.16	-1000000	-1000000	-1000000	-1000000	
4.760	0.1025	111.81	1.086	327.29	-1000000	-1000000	-1000000	-1000000	
4.780	0.1026	117.66	1.086	327.40	-1000000	-1000000	-1000000	-1000000	
4.800	0.1026	123.66	1.087	326.91	-1000000	-1000000	-1000000	-1000000	
4.820	0.1027	128.32	1.087	326.58	-1000000	-1000000	-1000000	-1000000	
4.840	0.1027	130.66	1.087	327.02	-1000000	-1000000	-1000000	-1000000	
4.860	0.1028	130.54	1.087	327.69	-1000000	-1000000	-1000000	-1000000	
4.880	0.1028	128.59	1.087	328.20	-1000000	-1000000	-1000000	-1000000	
4.900	0.1029	124.94	1.088	328.01	-1000000	-1000000	-1000000	-1000000	
4.920	0.1029	120.71	1.088	327.60	-1000000	-1000000	-1000000	-1000000	
4.940	0.1030	116.59	1.088	327.29	-1000000	-1000000	-1000000	-1000000	
4.960	0.1031	113.14	1.088	327.19	-1000000	-1000000	-1000000	-1000000	
4.980	0.1032	110.77	1.088	327.81	-1000000	-1000000	-1000000	-1000000	
5.000	0.1033	110.08	1.089	328.52	-1000000	-1000000	-1000000	-1000000	
5.020	0.1035	110.92	1.089	328.72	-1000000	-1000000	-1000000	-1000000	
5.040	0.1035	112.19	1.090	328.89	-1000000	-1000000	-1000000	-1000000	
5.060	0.1036	113.04	1.090	328.89	-1000000	-1000000	-1000000	-1000000	
5.080	0.1037	113.13	1.090	328.93	-1000000	-1000000	-1000000	-1000000	
5.100	0.1038	112.35	1.091	329.46	-1000000	-1000000	-1000000	-1000000	
5.120	0.1038	111.10	1.091	330.22	-1000000	-1000000	-1000000	-1000000	
5.140	0.1039	109.61	1.091	330.52	-1000000	-1000000	-1000000	-1000000	
5.160	0.1040	108.66	1.092	330.71	-1000000	-1000000	-1000000	-1000000	
5.180	0.1041	108.71	1.092	330.74	-1000000	-1000000	-1000000	-1000000	
5.200	0.1043	109.59	1.093	330.96	-1000000	-1000000	-1000000	-1000000	
5.220	0.1044	111.67	1.093	331.17	-1000000	-1000000	-1000000	-1000000	
5.240	0.1044	114.21	1.093	330.94	-1000000	-1000000	-1000000	-1000000	
5.260	0.1045	116.24	1.094	331.00	-1000000	-1000000	-1000000	-1000000	
5.280	0.1045	117.65	1.094	331.31	-1000000	-1000000	-1000000	-1000000	
5.300	0.1046	118.36	1.094	331.97	-1000000	-1000000	-1000000	-1000000	
