Zeit  1 - Standardmessrate [s]	Maytec [mm]	Kraft [N]	Standardwegaufnehmer [mm]	Pyrometer [°C]	Drehwinkel [V]	MX840_0_CH 6 [V]	MX840_0_CH 7 [V]	MX840_0_CH 8 [V]
3.200	0.04991	123.53	0.8362	300.15	-1000000	-1000000	-1000000	-1000000	
3.220	0.04989	123.47	0.8362	300.17	-1000000	-1000000	-1000000	-1000000	
3.240	0.04992	123.31	0.8362	300.12	-1000000	-1000000	-1000000	-1000000	
3.260	0.04999	123.30	0.8361	300.08	-1000000	-1000000	-1000000	-1000000	
3.280	0.05007	123.44	0.8362	300.12	-1000000	-1000000	-1000000	-1000000	
3.300	0.05007	123.34	0.8361	300.17	-1000000	-1000000	-1000000	-1000000	
3.320	0.05007	123.36	0.8363	300.16	-1000000	-1000000	-1000000	-1000000	
3.340	0.05007	123.53	0.8366	300.10	-1000000	-1000000	-1000000	-1000000	
3.360	0.05006	123.49	0.8368	300.09	-1000000	-1000000	-1000000	-1000000	
3.380	0.05005	123.47	0.8369	300.13	-1000000	-1000000	-1000000	-1000000	
3.400	0.05005	123.48	0.8369	300.17	-1000000	-1000000	-1000000	-1000000	
3.420	0.05009	123.57	0.8368	300.14	-1000000	-1000000	-1000000	-1000000	
3.440	0.05010	123.59	0.8368	300.09	-1000000	-1000000	-1000000	-1000000	
3.460	0.05013	123.45	0.8368	300.10	-1000000	-1000000	-1000000	-1000000	
3.480	0.05014	123.37	0.8368	300.15	-1000000	-1000000	-1000000	-1000000	
3.500	0.05014	123.36	0.8368	300.17	-1000000	-1000000	-1000000	-1000000	
3.520	0.05021	123.41	0.8369	300.12	-1000000	-1000000	-1000000	-1000000	
3.540	0.05030	123.45	0.8371	300.08	-1000000	-1000000	-1000000	-1000000	
3.560	0.05037	123.34	0.8373	300.12	-1000000	-1000000	-1000000	-1000000	
3.580	0.05036	123.28	0.8374	300.17	-1000000	-1000000	-1000000	-1000000	
3.600	0.05034	123.35	0.8375	300.16	-1000000	-1000000	-1000000	-1000000	
3.620	0.05035	123.51	0.8374	300.11	-1000000	-1000000	-1000000	-1000000	
3.640	0.05040	123.46	0.8374	300.09	-1000000	-1000000	-1000000	-1000000	
3.660	0.05040	123.37	0.8374	300.14	-1000000	-1000000	-1000000	-1000000	
3.680	0.05038	123.46	0.8375	300.17	-1000000	-1000000	-1000000	-1000000	
3.700	0.05034	123.57	0.8376	300.14	-1000000	-1000000	-1000000	-1000000	
3.720	0.05033	123.52	0.8375	300.09	-1000000	-1000000	-1000000	-1000000	
3.740	0.05036	123.44	0.8375	300.10	-1000000	-1000000	-1000000	-1000000	
3.760	0.05045	122.95	0.8378	300.15	-1000000	-1000000	-1000000	-1000000	
3.780	0.05051	122.14	0.8381	300.17	-1000000	-1000000	-1000000	-1000000	
3.800	0.05051	121.49	0.8382	300.12	-1000000	-1000000	-1000000	-1000000	
3.820	0.05053	120.70	0.8382	300.09	-1000000	-1000000	-1000000	-1000000	
3.840	0.05055	119.63	0.8382	300.13	-1000000	-1000000	-1000000	-1000000	
3.860	0.05056	118.45	0.8382	300.17	-1000000	-1000000	-1000000	-1000000	
3.880	0.05058	117.43	0.8382	300.17	-1000000	-1000000	-1000000	-1000000	
3.900	0.05065	116.35	0.8385	300.11	-1000000	-1000000	-1000000	-1000000	
3.920	0.05076	114.83	0.8388	300.09	-1000000	-1000000	-1000000	-1000000	
3.940	0.05089	113.14	0.8389	300.13	-1000000	-1000000	-1000000	-1000000	
3.960	0.05103	110.16	0.8389	300.17	-1000000	-1000000	-1000000	-1000000	
3.980	0.05125	105.02	0.8392	300.14	-1000000	-1000000	-1000000	-1000000	
4.000	0.05156	96.58	0.8395	300.09	-1000000	-1000000	-1000000	-1000000	
4.020	0.05196	82.85	0.8397	300.09	-1000000	-1000000	-1000000	-1000000	
4.040	0.05251	62.01	0.8401	300.15	-1000000	-1000000	-1000000	-1000000	
4.060	0.05318	35.60	0.8408	300.17	-1000000	-1000000	-1000000	-1000000	
4.080	0.05396	6.543	0.8416	300.12	-1000000	-1000000	-1000000	-1000000	
4.100	0.05483	-23.47	0.8429	300.08	-1000000	-1000000	-1000000	-1000000	
4.120	0.05580	-49.92	0.8448	300.12	-1000000	-1000000	-1000000	-1000000	
4.140	0.05692	-72.27	0.8472	300.17	-1000000	-1000000	-1000000	-1000000	
4.160	0.05820	-93.86	0.8502	300.16	-1000000	-1000000	-1000000	-1000000	
4.180	0.05963	-118.26	0.8534	300.11	-1000000	-1000000	-1000000	-1000000	
4.200	0.06108	-147.08	0.8566	300.09	-1000000	-1000000	-1000000	-1000000	
4.220	0.06256	-178.87	0.8603	300.14	-1000000	-1000000	-1000000	-1000000	
4.240	0.06413	-208.98	0.8643	300.17	-1000000	-1000000	-1000000	-1000000	
4.260	0.06571	-232.06	0.8689	300.14	-1000000	-1000000	-1000000	-1000000	
