Zeit  1 - Standardmessrate [s]	Maytec [mm]	Kraft [N]	Standardwegaufnehmer [mm]	Pyrometer [°C]	Drehwinkel [V]	MX840_0_CH 6 [V]	MX840_0_CH 7 [V]	MX840_0_CH 8 [V]
5.140	0.00487	147.43	1.138	323.16	-1000000	-1000000	-1000000	-1000000	
5.160	0.00487	147.88	1.138	322.99	-1000000	-1000000	-1000000	-1000000	
5.180	0.00489	148.22	1.138	322.96	-1000000	-1000000	-1000000	-1000000	
5.200	0.00490	148.95	1.138	322.70	-1000000	-1000000	-1000000	-1000000	
5.220	0.00484	149.59	1.138	322.88	-1000000	-1000000	-1000000	-1000000	
5.240	0.00482	149.97	1.138	323.09	-1000000	-1000000	-1000000	-1000000	
5.260	0.00485	150.65	1.138	322.92	-1000000	-1000000	-1000000	-1000000	
5.280	0.00484	151.29	1.137	322.64	-1000000	-1000000	-1000000	-1000000	
5.300	0.00481	151.53	1.137	322.20	-1000000	-1000000	-1000000	-1000000	
5.320	0.00478	151.60	1.137	322.18	-1000000	-1000000	-1000000	-1000000	
5.340	0.00477	151.55	1.137	322.72	-1000000	-1000000	-1000000	-1000000	
5.360	0.00472	151.50	1.137	322.76	-1000000	-1000000	-1000000	-1000000	
5.380	0.00462	151.45	1.137	322.32	-1000000	-1000000	-1000000	-1000000	
5.400	0.00464	151.50	1.136	322.19	-1000000	-1000000	-1000000	-1000000	
5.420	0.00474	151.12	1.136	321.84	-1000000	-1000000	-1000000	-1000000	
5.440	0.00481	150.29	1.136	321.80	-1000000	-1000000	-1000000	-1000000	
5.460	0.00476	149.86	1.136	322.48	-1000000	-1000000	-1000000	-1000000	
5.480	0.00470	149.73	1.136	322.47	-1000000	-1000000	-1000000	-1000000	
5.500	0.00470	149.27	1.136	322.04	-1000000	-1000000	-1000000	-1000000	
5.520	0.00467	148.51	1.136	321.49	-1000000	-1000000	-1000000	-1000000	
5.540	0.00465	148.11	1.136	321.38	-1000000	-1000000	-1000000	-1000000	
5.560	0.00462	147.87	1.135	321.45	-1000000	-1000000	-1000000	-1000000	
5.580	0.00457	147.26	1.135	321.32	-1000000	-1000000	-1000000	-1000000	
5.600	0.00459	146.22	1.135	321.20	-1000000	-1000000	-1000000	-1000000	
5.620	0.00464	145.05	1.135	321.33	-1000000	-1000000	-1000000	-1000000	
5.640	0.00464	143.89	1.135	321.33	-1000000	-1000000	-1000000	-1000000	
5.660	0.00464	142.86	1.135	321.58	-1000000	-1000000	-1000000	-1000000	
5.680	0.00464	141.79	1.135	321.88	-1000000	-1000000	-1000000	-1000000	
5.700	0.00465	140.31	1.134	321.95	-1000000	-1000000	-1000000	-1000000	
5.720	0.00464	138.37	1.134	321.91	-1000000	-1000000	-1000000	-1000000	
5.740	0.00465	136.12	1.134	322.04	-1000000	-1000000	-1000000	-1000000	
5.760	0.00470	132.40	1.134	322.26	-1000000	-1000000	-1000000	-1000000	
5.780	0.00479	126.97	1.134	322.48	-1000000	-1000000	-1000000	-1000000	
5.800	0.00485	118.57	1.134	322.97	-1000000	-1000000	-1000000	-1000000	
5.820	0.00495	104.75	1.135	323.62	-1000000	-1000000	-1000000	-1000000	
5.840	0.00511	83.81	1.135	324.20	-1000000	-1000000	-1000000	-1000000	
5.860	0.00533	56.33	1.135	325.14	-1000000	-1000000	-1000000	-1000000	
5.880	0.00558	26.99	1.136	326.29	-1000000	-1000000	-1000000	-1000000	
5.900	0.00597	3.186	1.136	327.20	-1000000	-1000000	-1000000	-1000000	
5.920	0.00640	-7.709	1.138	327.96	-1000000	-1000000	-1000000	-1000000	
5.940	0.00676	-1.653	1.139	328.58	-1000000	-1000000	-1000000	-1000000	
5.960	0.00698	20.91	1.142	329.18	-1000000	-1000000	-1000000	-1000000	
5.980	0.00707	53.17	1.144	329.50	-1000000	-1000000	-1000000	-1000000	
6.000	0.00709	85.97	1.145	329.52	-1000000	-1000000	-1000000	-1000000	
6.020	0.00711	112.05	1.146	329.69	-1000000	-1000000	-1000000	-1000000	
6.040	0.00717	129.50	1.147	329.70	-1000000	-1000000	-1000000	-1000000	
6.060	0.00720	138.98	1.147	329.46	-1000000	-1000000	-1000000	-1000000	
6.080	0.00715	143.29	1.147	329.56	-1000000	-1000000	-1000000	-1000000	
